#percentage  seed  absolute_enhancement  relative_enhancement
70 -37802 10.13374921747867963204 30.34199435396827940353
70 -584288 33.60924382626433521906 183.17598010842336248917
70 -57996 43.26814077356244100563 8.18862981297251191865
70 -231536 19.88083630448996038322 480.69757622307829315280
70 -45936 38.75400004320743586602 340.90133788850110625676
70 -37088 54.23359975890443452728 42.16897652197466913268
70 -37736 24.24945103927915077764 3.74476456360925598606
70 -50072 45.06866347646693272260 30.37169965323678253674
70 -17807360 50.91602846260286654459 13.14759646084547957912
70 -106192 15.46684804324746501100 220.21247805321770543100
70 -23372 25.19040782696843178895 31.69548782385989440146
70 -10929 78.20224917921500683279 200.93057514493388822658
70 -116452 30.80367972502779468407 167.17773149495203319505
70 -44087 19.65636020022980874417 586.03749187946670013181
70 -10977 19.87744406847280031279 61.82907152430446235235
70 -21243 39.66391599730514481175 29.85260538602682033128
70 -235884 22.97967190920779081881 1371.36540660692452696634
70 -7820 28.17738957165237270298 162.28084349904811972911
70 -216216 11.68072518109924489912 207.30052410542442802642
70 -63820 17.54063340915900004308 270.29474219416574213790
70 -93674 15.10098390398961988937 29.22284952823035325559
70 -42935 94.72447665233681020158 18.60014718416980980455
70 -200352 22.23264243622091004992 400.94765061032513075996
70 -16248 37.72418436043893466960 38.99231511830675815618
70 -163616 13.14141301150450550487 1208.08380235885175073883
70 -160136 12.55404263323274678005 8.76316060921041765871
70 -1261632 20.94126094877234342953 3.76835357861941448397
70 -1072256 14.18342436645694835540 611.94378722955019822292
70 -14928 11.06944176767093502021 60.24116751310163040720
70 -69852 26.01446350491966929165 35.03427963160658353062
70 -31624 35.93658782866705287195 24.66940472793629666474
70 -141184 28.17339296804406163299 19.73362956093757322244
70 -553216 15.23946670695729084530 42.43609457535950480190
70 -57769 23.80305259298763199068 60.59670088809245958431
70 -11782 23.01341957525380949289 81.51672195382734653012
70 -291272 18.31584018791470122470 44.90398435924260481151
70 -954144 20.57692333756597935730 658.31860537492702800343
70 -684640 37.98884895745728343336 33.46914972834085370979
70 -25806 13.63725899272822005769 623.68727592772332827309
70 -179532 40.26534866203075163901 42.69784211467510432144
70 -331112 46.53825127367933091761 1.78710862199048186519
70 -440344 16.93035422819159389720 80.10853240958988736212
70 -39772 19.24885877024040908156 162.46412477561554944385
70 -33745 56.65407416896686479788 21.92934640904539033541
70 -119244 40.01794107113662515552 16.07512028060292383325
70 -224836 46.50054902894175437919 524.11669954936369897020
80 -46596 7.81543621567093192636 203.22011513651066628901
80 -29984 11.86726182770926975713 18.88941130968248422909
80 -51726 11.75900783372858237754 6.26320429513431426944
80 -190024 9.71270583160401143720 9.04342864219294620531
80 -171344 12.63816155502652830391 34.05976538909992646810
80 -6504320 14.53774787324704244189 16.99159535325749197957
80 -15854 11.55842432054020176715 14.23597690882278211532
80 -82752 22.69639603139261306177 322.08358381593913516604
80 -2292416 14.22375192211355985667 17.93638350201453443333
80 -13456 18.15895903291508662200 30.21670159166341287899
80 -13751 15.76835109690853544937 147.52040923469455926490
80 -28696 12.19993299272231766994 54.84539833557255129250
80 -15834 35.80380620680669901160 65.46518315702286314797
80 -7547392 32.70624626597349624907 27.40637592249130244925
80 -1850560 16.11640703992575882729 18.69147519263226339277
80 -158916 10.87895570829287944502 33.92412679797350333678
80 -227548 6.87648731392591801455 6.34884515620584803128
80 -26877 35.18786858699183798184 19.79853138656771881481
80 -1486 15.88410367548943324019 25.49734730067928227514
80 -1372160 14.32060331983135695836 46.66157336227890043079
80 -3476480 13.44455690983081172783 7.69188351108804158212
80 -1756352 10.76869085208940720850 45.39703276746884843665
80 -109808 11.84310213951055456806 11.51370894390348386210
80 -414152 13.17456114341199216860 50.83798156383417787234
80 -104448 17.92980380595857985641 23.85124613695871386417
80 -1748 8.23298415365986676727 7.34457771869081177929
80 -214880 18.21752764170142886214 532.61757314923340445951
80 -6976 13.74976514879382573839 118.56183963940769840617
80 -1902048 15.38303301033397161688 25.45379705429042934035
80 -21610 7.34038190003235004692 26.36256890832547406431
80 -160348 17.97058672626165601504 8.38519006990785715294
80 -557712 13.94461920001266262963 59.64824446835726536947
80 -188152 17.39460574286649603994 15.16856253629640935993
80 -27795 22.18090649793240513995 92.15889546477425280754
80 -164937728 29.72143557293707705684 177.45232547588951549759
80 -1332384 6.56905397912999507977 28.84124161875056885242
80 -207732 12.23635937833783411880 31.83400013081133723384
80 -186944 23.54875767021908168511 62.52615977492857372852
80 -1727968 15.41125053241785664966 15.38278030917909508631
80 -31874 24.87837489143049676905 31.31662665976188815791
80 -55257 11.76667256601858790990 330.52375760654272386934
80 -8189952 8.98163861342687167480 15.34871679830784506295
80 -23664 12.60120582368232898208 19.94724737566833718797
80 -35020 24.99444262970697876203 14.14407302659088425683
80 -30955 5.96381001409625852136 6.95449081811808602978
80 -40416 16.23410147119358151138 11.39925648833189140327
